campaign_code,Date,Profile name,Profile followers,Platform,Content type,Media type,Labels,Total impressions,Total reach,Engagements,Total likes,Total comments,Total shares,Saves,Media views,Exits,Taps forward,Taps back,Completion rate,Video view count,Content ID
PietMondrian_LE_26,2026-07-24 14:00:02,Avant Arte,2913405,instagram,post,carousel,Edition;PietMondrian_LE_26,174055,67730,3846,3067,18,240,426,174055,,,,,,18170862151441234
PietMondrian_LE_26,2026-07-24 14:00:00,Avant Arte,2913405,instagram,story,photo,Edition;PietMondrian_LE_26,4517,4025,0,,0,0,,4517,241,3605,109,0.12441886,,18120921739870891
PietMondrian_LE_26,2026-07-24 13:59:46,Avant Arte,2913405,instagram,story,photo,Edition;PietMondrian_LE_26,4896,4339,0,,0,0,,4896,243,3657,117,0.17953432,,18115751096300004
PietMondrian_LE_26,2026-07-24 13:59:28,Avant Arte,2913405,instagram,story,photo,Edition;PietMondrian_LE_26,6255,5434,1,,1,1,,6255,572,3582,54,0.3272582,,18134069068607280
YoonHyup_LE_26,2026-07-22 17:00:10,Avant Insiders,72733,instagram,story,photo,Edition;YoonHyup_LE_26,483,425,0,,0,0,,483,78,267,9,0.26708075,,18118670251897047
YoonHyup_LE_26,2026-07-22 16:59:15,Avant Arte,2913267,instagram,story,photo,Edition;YoonHyup_LE_26,10200,9113,0,,0,0,,10200,1358,6195,75,0.25215685,,18388465153203229
ZengFanzhi_TL_26,2026-07-21 09:14:33,Avant Insiders,72741,instagram,story,photo,Edition;ZengFanzhi_TL_26,562,497,0,,0,0,,562,66,315,8,0.30782917,,18615633349036409
ZengFanzhi_TL_26,2026-07-21 09:12:56,Avant Arte,2913220,instagram,story,photo,Edition;ZengFanzhi_TL_26,11003,9949,0,,0,0,,11003,1326,6867,113,0.24511497,,18175792966422658
PietMondrian_LE_26,2026-07-20 14:00:02,Avant Arte,13487,twitter,post,photo,Edition;PietMondrian_LE_26,1032,,128,13,0,2,,,,,,,,2079204690248753328
PietMondrian_LE_26,2026-07-20 14:59:29,Avant Arte,2913200,instagram,story,photo,Edition;PietMondrian_LE_26,7460,6385,1,,1,4,,7460,812,5117,157,0.1841823,,18001569542779730
Abdulnasser_LE_26,2026-07-20 13:00:00,Avant Arte,13487,twitter,post,photo,Abdulnasser_LE_26;Edition,636,,51,4,0,2,,,,,,,,2079189582814515218
Abdulnasser_LE_26,2026-07-20 13:59:18,Avant Arte,2913198,instagram,story,photo,Abdulnasser_LE_26;Edition,9379,8190,0,,0,2,,9379,961,5457,86,0.30653587,,18383829451165340
JaumePlen_LE_26,2026-07-17 15:01:09,Avant Arte,2912585,instagram,story,photo,Edition;JaumePlen_LE_26,6539,6017,0,,0,0,,6539,620,4804,93,0.156293,,17970476474917751
JaumePlen_LE_26,2026-07-17 15:00:54,Avant Arte,2912585,instagram,story,photo,Edition;JaumePlen_LE_26,8296,7362,0,,0,1,,8296,613,5041,55,0.31183702,,17950564908014644
JaumePlen_LE_26,2026-07-17 14:59:47,Avant Arte,2912585,instagram,collaboration,carousel,Edition;JaumePlen_LE_26,184006,67806,1732,1541,13,54,117,184006,,,,,,18106669166028728
AhmedM_Salam_26,2026-07-16 14:01:04,Avant Arte,2912547,instagram,story,photo,AhmedM_Salam_26;Edition,11130,9956,0,,0,1,,11130,1300,6947,83,0.25157234,,18118481012478913
AhmedM_Salam_26,2026-07-16 14:00:48,Avant Arte,2912547,instagram,collaboration,reel,AhmedM_Salam_26;Edition,101281,71610,4865,3472,30,742,626,101281,,,,,101281,18043114004606280
GiuseppePen_LE_26,2026-07-15 14:00:49,Avant Insiders,72755,instagram,story,photo,Edition;GiuseppePen_LE_26,559,495,0,,0,0,,559,72,349,3,0.24150269,,17919393642401962
GiuseppePen_LE_26,2026-07-15 13:59:54,Avant Arte,2912512,instagram,story,photo,Edition;GiuseppePen_LE_26,7429,6724,0,,0,0,,7429,693,5505,133,0.14779916,,18106308767090086
GiuseppePen_LE_26,2026-07-15 13:59:16,Avant Arte,2912512,instagram,story,photo,Edition;GiuseppePen_LE_26,9086,8176,0,,0,0,,9086,709,5800,67,0.27624917,,17914736256226310
YoonHyup_LE_26,2026-07-14 17:01:28,Avant Insiders,72758,instagram,story,photo,Edition;YoonHyup_LE_26,401,359,0,,0,0,,401,60,273,5,0.15710723,,18091757003566921
YoonHyup_LE_26,2026-07-14 17:01:23,Avant Insiders,72758,instagram,story,photo,Edition;YoonHyup_LE_26,484,427,0,,0,0,,484,46,298,5,0.27892563,,18063336638725891
YoonHyup_LE_26,2026-07-14 17:00:27,Avant Arte,2912539,instagram,story,photo,Edition;YoonHyup_LE_26,6850,6218,0,,0,1,,6850,665,5079,85,0.1490511,,18092375621633511
