campaign_name,spend_date,impressions,reach,link_clicks,spend
PietMondrian_LE_26 · Enter draw,2026-08-13,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-08-13,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-13,0,0,0,0
ZengFanzhi_TL_26 · Enter draw,2026-08-13,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-12,144326,119911,1043,1247.16
AhmedM_Salam_26 · Enter draw,2026-08-12,0,0,0,0
Inventory_Test_26,2026-08-12,21261,18274,248,167.43
JamesJean_Blossom_26 · Enter draw,2026-08-12,124247,110784,1533,1111.65
JaumePlen_LE_26 · Enter draw,2026-08-12,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-12,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-08-12,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-08-12,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-12,34643,30750,268,114.62
ZengFanzhi_TL_26 · Enter draw,2026-08-12,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-11,89899,75796,910,1113.34
AhmedM_Salam_26 · Enter draw,2026-08-11,0,0,0,0
Inventory_Test_26,2026-08-11,46509,40909,435,349.04
JamesJean_Blossom_26 · Enter draw,2026-08-11,94934,83040,1226,735.09
JaumePlen_LE_26 · Enter draw,2026-08-11,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-11,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-08-11,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-08-11,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-11,25384,22634,256,148.94
ZengFanzhi_TL_26 · Enter draw,2026-08-11,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-10,48339,41212,561,721.42
AhmedM_Salam_26 · Enter draw,2026-08-10,0,0,0,0
Inventory_Test_26,2026-08-10,19566,15933,191,153.55
JamesJean_Blossom_26 · Enter draw,2026-08-10,78039,71644,1243,717.3
JaumePlen_LE_26 · Enter draw,2026-08-10,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-10,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-08-10,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-08-10,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-10,28480,24519,362,217.74
ZengFanzhi_TL_26 · Enter draw,2026-08-10,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-09,30527,25949,373,418.54
AhmedM_Salam_26 · Enter draw,2026-08-09,0,0,0,0
Inventory_Test_26,2026-08-09,2,2,0,0
JamesJean_Blossom_26 · Enter draw,2026-08-09,157317,142804,2437,1285.02
JaumePlen_LE_26 · Enter draw,2026-08-09,0,0,0,0
Parra_LE_26 · Enter draw,2026-08-09,0,0,0,0
PietMondrian_LE_26 · Enter draw,2026-08-09,0,0,0,0
YoonHyup_LE_26 · Enter draw,2026-08-09,0,0,0,0
ZengFanzhi_LE_26 · Enter draw,2026-08-09,30438,25476,432,332.58
ZengFanzhi_TL_26 · Enter draw,2026-08-09,0,0,0,0
Abdulnasser_LE_26 · Enter draw,2026-08-08,10320,7949,162,165.34
AhmedM_Salam_26 · Enter draw,2026-08-08,0,0,0,0
